اسم المستشفى,العنوان التفصيلي,خط العرض,خط الطول,التخصص,رقم التليفون,الموقع الإلكتروني
مستشفى قصر العيني القديم,شارع السرايا، المنيل، القاهرة,30.028348,31.22558,عام وتعليمي,15300,medicine.cu.edu.eg
مستشفى قصر العيني التعليمي الجديد (الفرنساوي),شارع قصر العيني، مصر القديمة، القاهرة,30.043487,31.235291,عام وتخصصي,02-23640245,medicine.cu.edu.eg
مستشفى أبو الريش الياباني الجامعي للأطفال,شارع السيدة زينب، أمام محطة المترو، القاهرة,30.043487,31.235291,أطفال,02-23642144,medicine.cu.edu.eg
المعهد القومي للأورام,1 شارع قصر العيني، فم الخليج، القاهرة,30.024267,31.231029,أورام,19666,nci.cu.edu.eg
مستشفى عين شمس التخصصي,شارع الخليفة المأمون، العباسية، القاهرة,30.07792,31.289747,عام وتخصصي,02-24346014,med.asu.edu.eg
مستشفى الدمرداش الجامعي,امتداد شارع رمسيس، حي الوايلي / العباسية، القاهرة,30.073996,31.283751,عام وتعليمي,02-24346001,med.asu.edu.eg
مستشفى الأطفال التخصصي بجامعة عين شمس,المجمع الطبي بالدمرداش، العباسية، القاهرة,30.043487,31.235291,أطفال,02-24346002,med.asu.edu.eg
مستشفى الحسين الجامعي,خلف جامع الأزهر الشريف، الدرب الأحمر، القاهرة,30.045425,31.266081,عام وتعليمي,02-25126871,azhar.edu.eg
مستشفى سيد جلال الجامعي (باب الشعرية),شارع بورسعيد، ميدان باب الشعرية، القاهرة,30.055404,31.261277,عام وتعليمي,02-25914605,azhar.edu.eg
مستشفى الزهراء الجامعي,شارع سرايات العباسية، الوايلي، القاهرة,30.064786,31.282247,عام وتعليمي,02-24827014,azhar.edu.eg
معهد ناصر للبحوث والعلاج,1351 كورنيش النيل، شبرا، القاهرة,30.094488,31.236978,عام وتخصصي,02-22039230,غير متوفر
مركز أورام دار السلام (هرمل),طريق مصر حلوان الزراعي، دار السلام، القاهرة,29.981246,31.241719,أورام,02-23631627,غير متوفر
مستشفى الزيتون التخصصي,شارع عمر المختار، الأميرية، القاهرة,30.109105,31.293848,عام,02-22846152,غير متوفر
مستشفى دار الشفاء,375 شارع رمسيس، العباسية، القاهرة,30.071231,31.27835,عام وتخصصي,02-26857144,غير متوفر
مستشفى الهلال برمسيس,34 شارع رمسيس، وسط البلد، القاهرة,30.058916,31.243704,عظام وجراحة,02-25754407,غير متوفر
المعهد القومي للقلب,شارع محمد رشدي، الكيت كات، القاهرة الكبرى,30.143602,31.362865,قلب وأوعية دموية,02-33120173,nhi-egypt.com
مستشفى الساحل التعليمي,شارع شبرا، حي الساحل، القاهرة,30.101402,31.245388,عام وتعليمي,02-22020281,غير متوفر
مستشفى المطرية التعليمي,شارع طه قنديل، المطرية، القاهرة,30.10488,31.302119,عام وتعليمي,02-22522770,غير متوفر
معهد بحوث أمراض العيون والقرنية (روض الفرج),حي روض الفرج، شبرا، القاهرة,30.074598,31.23067,عيون,02-24584288,غير متوفر
